standard_smiles,class
CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,1
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,1
CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,0
O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,1
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,1
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,1
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,0
COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,1
CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,0
CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,0
CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,1
CC1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,0
CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,1
CSc1nc(/C=C/c2ccccc2)nn1C(=O)N(C)C,1
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,1
Cc1c(C(C)C)c(=O)on1C(=O)N1CCC[C@H](C)C1,0
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,0
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCCCC1,1
O=C(N1CCOCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,0
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,1
CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,0
CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)c1ccccc1,0
CCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,1
CCCCCCSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)C,1
CCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,1
Cc1ccc(-c2nc(SCC(F)(F)F)n(C(=O)N(C)C)n2)cc1,1
COc1nn(-c2ccc(NC(=O)c3ccc(C(C)(C)C)cc3)cc2)c(=O)o1,0
CSc1nc(-c2ccc(C(F)(F)F)cc2)nn1C(=O)N(C)C,1
CC1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,0
CSc1nc(-c2ccc(C)cc2)nn1C(=O)N1CCOCC1,0
CCN(CC)CCSC(=NO)C(=O)c1ccc(OC)cc1,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,1
C[N+](C)(C)CCSC(=NO)C(=O)c1ccc(F)cc1,0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
Cc1ccc(C(=O)C(=NO)SCC[N+](C)(C)C)cc1,0
N#CC(C#N)c1nc2ccccc2n1CCNCc1ccc(CN2CCCCC2)o1,1
CCN(CC)CCSC(=NO)C(=O)c1ccc(Cl)cc1,0
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(OC)cc1,0
Cc1ccc(C(=O)C(=NO)SCCN(C)C)cc1,0
CC1CCCCN1Cc1ccc(CNCCN2CCN=C2C(C#N)C#N)o1,1
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCCCC2)o1,1
CN=C(NCCNCc1ccc(CN2CCCCC2)o1)C(C#N)C#N,1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
COc1ccc(C(=O)C(=NO)SCC[N+](C)(C)C)cc1,0
CN(C)CCSC(=NO)C(=O)c1ccc(Cl)cc1,0
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCC(O)CC2)o1,1
CN(C)Cc1ccc(CNCCN2CCN=C2C(C#N)C#N)o1,1
CCN(C)Cc1ccc(CNCCN2CCN=C2C(C#N)C#N)o1,1
COc1ccc(C(=O)C(=NO)SCCN(C)C)cc1,0
CCN(CC)Cc1ccc(CNCCN2CCN=C2C(C#N)C#N)o1,1
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(Cl)cc1,0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,0
CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,1
CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,1
NC(=O)c1cc[n+](COC[n+]2ccccc2C=NO)cc1,0
CN=C(NCCNCc1ccc(CN(C)C)o1)C(C#N)C#N,1
CC(C)N(CCSC(=NO)C(=O)c1ccc(Cl)cc1)C(C)C,0
C[n+]1ccccc1C=NO,0
CCN(CC)CCSC(=NO)C(=O)c1ccccc1,0
CC1CCN(Cc2ccc(CNCCN3CCN=C3C(C#N)C#N)o2)CC1,1
CCN(CC)CCSC(=NO)C(=O)c1ccc(Br)cc1,0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCCC2)o1,1
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CC=CCC2)o1,1
CN(C)CCSC(=NO)C(=O)c1ccc(Br)cc1,0
CCN(CC)CCSC(=NO)C(=O)c1ccc(C#N)cc1,0
CN=C(NCCNCc1ccc(COC)o1)C(C#N)C#N,0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
CN=C(NCCNCc1ccc(CN2CCCC2)o1)C(C#N)C#N,1
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCOCC2)o1,0
CN=C(C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
CC1CCCN(Cc2ccc(CNCCN3CCN=C3C(C#N)C#N)o2)C1,1
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(F)cc1,0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,1
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(C#N)cc1,0
CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,1
C[N+](C)(C)CCSC(=NO)C(=O)c1ccc(Br)cc1,0
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,1
CN(C)CCCSC(=NO)C(=O)c1ccc(Br)cc1,0
N#CC(C#N)C1=NCCN1CCNCc1ccc(CN2CCCCCC2)o1,1
COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,1
COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,1
NCCCCCCNCCSSCCNCCCCCCN,0
Nc1c2c(nc3ccccc13)CCCC2,1
C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1C=NO,0
C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(=O)[nH]c1C2,1
C/C=C1\[C@H]2C=C(C)C[C@@]1(N)c1ccc(=O)[nH]c1C2,1
Nc1c2c(nc3ccccc13)-c1ccccc1CO2,0
C[n+]1ccccc1C=NO,0
Nc1cc(-c2ccccc2)nc2ccccc12,0
C[n+]1ccn(COCCS(C)(=O)=O)c1C=NO,0
Nc1c2c(nc3ccccc13)-c1ccccc1C2,1
Nc1c2c(nc3ccccc13)-c1ccccc1CS2,0
C[n+]1ccn(CCN2CCCC2)c1C=NO,0
COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1
COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,1
COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC,1
C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,1
COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,1
CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,1
CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,1
COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,0
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC#N)CC3)sc2cc1OC,1
COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,1
COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,1
COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,1
COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC,1
COc1cc2cc(C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCC3CC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](C)cc3)sc2cc1OC,1
COCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,1
COc1cc2cc(C(=O)CC(O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccsc4)cc3)sc2cc1OC,1
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,1
COC(=O)C[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,1
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,1
COc1cc2cc(CC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC,0
CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,1
C=CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,1
CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,1
C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,1
COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc([N+](=O)[O-])o4)cc3)sc2cc1OC,1
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC,1
