index,PMID,Chemical Name,Smiles,Standard Value,Standard Units,Standard Relation,Unnamed: 6,Unnamed: 7,InChi,MW,standardized_Standard Units,neg_log_M_Standard_Valuemean,binary_activities,SMILES
0,PMID31316368,1-(4-Amino-5-chloro-2-methoxyphenyl)-3-(1-(3-methylbenzyl)piperidin-4-yl)propan-1-one,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(C)c2)CC1,161,nM,'=',,,MLGZODWUOIZOPO-UHFFFAOYSA-N,400.191756,nm,7.132772,1,COc1cc(N)c(Cl)cc1C(=O)CCC1CCN(Cc2cccc(C)c2)CC1
1,PMID32932702,13-bis[5-(o-cyanobenzylethylamino)pentyl]-6-methyluracil ,CCN(CCCCCn1c(C)cc(=O)n(CCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N,7.3,nM,'=',,,HSTIQTQFKBPUBM-UHFFFAOYSA-N,582.368225,nm,8.453114,1,CCN(CCCCCn1c(C)cc(=O)n(CCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N
2,PMID32932702,13-bis[6-(o-cyanobenzylethylamino)hexyl]-6-methyluracil ,CCN(CCCCCCn1c(C)cc(=O)n(CCCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N,29,nM,'=',,,VZLMPEWEWNBPNU-UHFFFAOYSA-N,610.399525,nm,7.578695,1,CCN(CCCCCCn1c(C)cc(=O)n(CCCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N
3,PMID32932702,13-bis[5-(o-cyanobenzylethylamino)pentyl]-quinazoline-24-dione,CCN(CCCCCn1c(=O)c2ccccc2n(CCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N,38,nM,'=',,,MUHGJDAKOZGKRH-UHFFFAOYSA-N,618.368225,nm,7.378729,1,CCN(CCCCCn1c(=O)c2ccccc2n(CCCCCN(CC)Cc2ccccc2C#N)c1=O)Cc1ccccc1C#N
4,PMID29534488,9-Amino-1234-tetrahydro-10-methylacridin-10-ium iodide,C[n+]1c2c(c(N)c3ccccc31)CCCC2,12,µM,'=',,,XZCXCNCLCXZILU-UHFFFAOYSA-O,213.138625,um,4.920819,0,C[n+]1c2c(c(N)c3ccccc31)CCCC2
5,PMID29534488,9-Amino-6-chloro-1234-tetrahydro-10-methylacridin-10-ium iodide,C[n+]1c2c(c(N)c3ccc(Cl)cc31)CCCC2,2.45,µM,'=',,,NNLSQYGKFPZYHI-UHFFFAOYSA-O,247.099653,um,5.610834,0,C[n+]1c2c(c(N)c3ccc(Cl)cc31)CCCC2
6,PMID29534488,12-Amino-3-chloro-671011-tetrahydro-59-dimethyl-711-methanocycloocta[b]quinolin-5-ium iodide,CC1=CC2Cc3c(c(N)c4ccc(Cl)cc4[n+]3C)C(C1)C2,59.2,nM,'=',,,TZXVXFOBFZEJHR-UHFFFAOYSA-O,299.130953,nm,7.227678,1,CC1=CC2Cc3c(c(N)c4ccc(Cl)cc4[n+]3C)C(C1)C2
7,PMID29534488,2-{1-[2-(1234-Tetrahydroacridin-9-ylamino)ethyl]-1H-123-triazol-4-yl}ethanol,OCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1,1.73,µM,'=',,,BDRLKUBDKVXEAT-UHFFFAOYSA-N,337.19026,um,5.761954,0,OCCc1cn(CCNc2c3c(nc4ccccc24)CCCC3)nn1
8,PMID29534488,2-{1-[2-(6-Chloro-1234-tetrahydroacridin-9-ylamino)ethyl]-1H-123-triazol-4-yl}ethanol ,OCCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1,0.2,µM,'=',,,WFZSNNNCZAXVMA-UHFFFAOYSA-N,371.151288,um,6.69897,1,OCCc1cn(CCNc2c3c(nc4cc(Cl)ccc24)CCCC3)nn1
9,PMID29534488,N-[4-(hydroxy)-3-methoxybenzyl]-2-{1-[2-(1234-tetrahydroacridin-9-ylamino)ethyl]-1H-123-triazol-4-yl}acetamide,COc1cc(CNC(=O)Cc2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccc1O,0.25,µM,'=',,,NDZILZAQOYRZHC-UHFFFAOYSA-N,486.237939,um,6.60206,1,COc1cc(CNC(=O)Cc2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)ccc1O
