standard_smiles,class
CCC1=CC2Cc3nc4cc(C)ccc4c(N)c3C(C1)C2,1
CC1=CC2Cc3nc4cc(C)ccc4c(N)c3C(C1)C2,1
CCC1=CC2Cc3nc4cccc(C)c4c(N)c3C(C1)C2,1
CC12CC3Cc4nc5cc(Cl)ccc5c(N)c4C(C1)C3N2S(C)(=O)=O,1
CCN(C)C(=O)Oc1cccc2c1C(CCN)CN2,1
CC(C)CS(=O)(=O)c1cccc(OS(C)(=O)=O)n1,0
CC(=O)NC1C2C=C(C)CC1c1c(nc3cc(Cl)ccc3c1N)C2,0
CC12CC3Cc4nc5cc(Cl)ccc5c(N)c4C(C1)C3N2,0
CCN(C)C(=O)Oc1cccc2c1CCN2CCC(=O)OC,0
CNC(=O)Oc1cccc2ccccc12,0
CCN(C)C(=O)Oc1cccc2c1C(CCC(=O)OC)CN2,0
CCN(C)C(=O)Oc1ccc2c(c1)NCC2CCC(=O)OC,0
CCN(C)C(=O)Oc1ccc2c(c1)N(CCC(=O)OC)CC2,0
Cc1cccc2c1OP(=O)(OCC1CCC(n3cnc4c(N)ncnc43)O1)OC2,0
Cc1cccc2c1O[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,0
Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1N=[N+]=[N-])OC2,0
Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(N)ncnc43)O1)OC2,0
Cc1cccc2c1O[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2,0
Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2,0
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,1
C[N+](C)(C)c1cc(O)cc(OCCCCOc2cc(O)cc([N+](C)(C)C)c2)c1,1
C[N+](C)(C)c1cc(O)cc(OCCCOc2cc(O)cc([N+](C)(C)C)c2)c1,1
O=C(CCOc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1
Cc1c(C)c2ccc(OCCCCOc3cc(O)cc([N+](C)(C)C)c3)cc2oc1=O,1
CCC1CCC2CC(Cc3nc4ccccc4c(N)c32)C1,1
CCC1=C[C@@H]2Cc3nc4cc(Cl)ccc4c(N)c3[C@H](C1)C2,1
CC1CCC2CC(Cc3nc4ccccc4c(N)c32)C1,1
O=C(CCOc1c[nH]c2ccccc12)NCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1
Cc1c(C)c2ccc(OCCCOc3cc(O)cc([N+](C)(C)C)c3)cc2oc1=O,1
C[N+](C)(CC(=O)c1ccc(-c2ccc(C(=O)C[N+](C)(C)CC3OCCCO3)cc2)cc1)CC1OCCCO1,1
O=C(CCOc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1
O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCc1c2c(nc3cc(Cl)ccc13)CCCC2,1
CCC1=C[C@@H]2Cc3nc4cc(C)ccc4c(N)c3[C@H](C1)C2,1
CCC1=C[C@@H]2Cc3nc4cc(F)ccc4c(N)c3[C@H](C1)C2,1
COc1cc2cc(C(=O)OC3CCN(Cc4ccccc4)CC3)c(=O)oc2cc1OC,1
COc1cc2cc(C(=O)NCCCCN(C)Cc3ccccc3)c(=O)oc2cc1OC,1
COc1cc2cc(OCC3CCN(Cc4ccccc4)CC3)c(=O)oc2cc1OC,1
O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,1
COc1cc2c(cc1OC)C(=O)C(CNCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,1
Oc1c(CNCCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc2cccnc12,1
CCC1=C[C@@H]2Cc3nc4ccccc4c(N)c3[C@H](C1)C2,1
COc1cc2cc(C(=O)NC3CCN(Cc4ccccc4)CC3)c(=O)oc2cc1OC,1
c1cc(C[n+]2ccc(N3CCCC3)cc2)cc(-c2cccc(C[n+]3ccc(N4CCCC4)cc3)c2)c1,1
COc1cc(C2c3ccc(O)cc3Oc3nc4c(c(N)c32)CCCC4)cc(OC)c1OC,1
CC1=C[C@@H]2Cc3nc4ccccc4c(N)c3[C@H](C1)C2,1
Oc1c(CNCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)ccc2cccnc12,1
Cc1ccc2ccc(CNCCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(O)c2n1,1
COc1cc2cc(C(=O)OCC3CCN(Cc4ccccc4)CC3)c(=O)oc2cc1OC,1
O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,1
c1cc(C[n+]2ccc(N3CCCCC3)cc2)ccc1CCc1ccc(C[n+]2ccc(N3CCCCC3)cc2)cc1,1
CN(CCCNCc1ccc2cccnc2c1O)CCCNc1c2c(nc3ccccc13)CCCC2,1
COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)oc2c1,1
c1cc(C[n+]2ccc(N3CCCC3)cc2)ccc1CCCc1ccc(C[n+]2ccc(N3CCCC3)cc2)cc1,1
c1cc(C[n+]2ccc(N3CCCCC3)cc2)ccc1Cc1ccc(C[n+]2ccc(N3CCCCC3)cc2)cc1,1
COc1cc2cc(C(=O)NCCCN(C)Cc3ccccc3)c(=O)oc2cc1OC,1
