standard_smiles,class
CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccc(S(=O)(=O)Cc2ccccc2)cc1,1
O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,1
COc1cc2c(cc1OC)C(=O)C(CCC1CCN(Cc3ccccc3)CC1)C2,1
COc1cc2c(cc1OC)C(O)C(CC1CCN(Cc3ccccc3)CC1)C2,1
COc1cc2c(cc1OC)C(=O)C(CN1CCC(Cc3ccccc3)CC1)C2,1
O=C1c2ccccc2CCC1CC1CCN(Cc2ccccc2)CC1,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCc3ccccc3)CC1)C2,1
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3[N+](=O)[O-])CC1)C2,1
O=C1c2ccccc2CCCC1CC1CCN(Cc2ccccc2)CC1,0
COc1cc2c(cc1OC)CC(CC1CCN(Cc3ccccc3)CC1)=C2,0
COc1cc2c(cc1OC)C(=O)C(C1CCN(Cc3ccccc3)CC1)C2,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc([N+](=O)[O-])cc3)CC1)C2,1
COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,0
COc1cc2c(cc1OC)C(=O)C(CN1CCN(Cc3ccccc3)CC1)C2,1
COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(C(=O)c3ccccc3)CC1)C2,0
COCCN(CC1CCCN(Cc2ccccc2)C1)S(=O)(=O)c1ccc2ccccc2c1,0
CCOP(=O)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,1
CCCCCCCCCCCCP(=O)(F)OC(C)C,0
CCCCCCCCP(=O)(F)OC(C)C,1
O=C(NCc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,1
O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CC1CCN(Cc2ccccc2)CC1,0
CN1CCC(CCN2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)CC1,0
O=c1c2ccccc2ccn1CCC1CCN(Cc2ccccc2)CC1,0
c1ccc(CN2CCC(CCN3CCc4ccccc4C3)CC2)cc1,0
O=c1c2ccccc2ncn1CCC1CCN(Cc2ccccc2)CC1,0
O=C(C1CCCCC1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,0
COc1cc2c(cc1OC)C(=O)C(=CCC1CCN(Cc3ccccc3)CC1)C2,1
O=c1cc(OCCCN2CCN(c3ccccc3F)CC2)c2ccccc2o1,0
O=C(NCCc1ccccc1)Oc1cc(=O)oc2ccccc12,0
CN(CCCOc1cc(=O)oc2ccccc12)CCN1CCOCC1,0
O=c1cc(OCCCCN2CCN(c3ccccn3)CC2)c2ccccc2o1,0
O=c1cc(OCCCN2CCN(c3ncccn3)CC2)c2ccccc2o1,0
O=c1cc(OCCCNCCc2ccccc2)c2ccccc2o1,0
COc1ccc(CCNCCCOc2cc(=O)oc3ccccc23)cc1OC,0
O=c1cc(OCCCN2CCC(Cc3ccccc3)CC2)c2ccccc2o1,0
O=c1cc(OCCCCN2CCN(c3ccccc3F)CC2)c2ccccc2o1,0
O=c1cc(OCCCCN2CCN(c3ncccn3)CC2)c2ccccc2o1,0
O=c1cc(OCCCN2CCN(c3ccc(F)cc3)CC2)c2ccccc2o1,0
O=c1cc(OCCCN2CCN(c3ccccn3)CC2)c2ccccc2o1,0
O=C(Oc1cc(=O)oc2ccccc12)N1CCN(c2ccccc2)CC1,0
O=c1cc(OCCCCN2CCN(c3ccccc3)CC2)c2ccccc2o1,0
O=c1cc(OCCCN2CCN(c3ccccc3)CC2)c2ccccc2o1,0
Nc1c2c(nc3ccccc13)CCC(O)C2,0
COc1cc(C(=O)Oc2cccc(/C=C3\Cc4ccccc4C3=O)c2)cc(OC)c1OC,0
O=C(Oc1cccc(/C=C2\Cc3ccccc3C2=O)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,0
O=C(Oc1cccc(/C=C2\Cc3ccccc3C2=O)c1)c1ccc([N+](=O)[O-])cc1,0
O=C(Oc1cccc(/C=C2\Cc3ccccc3C2=O)c1)c1ccccc1F,0
O=C(Oc1cccc(/C=C2\Cc3ccccc3C2=O)c1)c1ccccc1,0
