standard_smiles,class
Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(=O)C(F)(F)F)c1,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCCCCC(=O)Nc1ccc3[nH]ccc3c1)C2,1
COC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCCCCN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(OC)ccc(c23)C1,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCCCCCOc1ccc3[nH]ccc3c1)C2,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(CCCCCCOc1ccc(CNc3ccc4[nH]ccc4c3)cc1)C2,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)O)c1C,0
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Clc1c2c(nc3ccccc13)CCCC2,0
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCC(=O)NCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCC(=O)NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCC(=O)NCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
Cc1cccc(Nc2ccccc2C(=O)NCCCC(=O)NCCCCCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c1C,1
CN[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C(C)=O)CC[C@@H]32)C1,0
C/C(=C\C(=O)N[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,0
CC=C(C)C(=O)N=C1CC[C@@]2(C)C(CCC3C4=CC[C@H]([C@H](C)N(C)C)[C@@]4(C)CCC32)C1=O,0
C/C=C(\C)C(=O)N[C@@H]1C=C2CC[C@@H]3[C@H](CC[C@]4(C)C([C@H](C)N(C)C)=CC[C@@H]34)[C@@]2(C)C[C@H]1O,0
CC=C(C)C(=O)N=C1CC[C@@]2(C)C(CCC3C2CC[C@@]2(C)C3CC[C@@H]2[C@H](C)N(C)C)C1=O,0
CC(=O)O[C@H]1[C@@H](NC(=O)C=C(C)C)CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H]([C@H](C)N(C)C)CC[C@H]4[C@@H]3CC[C@@H]12,0
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H]([C@H](C)N(C)C)CC[C@@H]32)C1)C(C)C,0
C/C(=C\C(=O)N(C)[C@H]1CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)C([C@H](C)N(C)C)=CC[C@@H]32)C1)C(C)C,0
C[C@@H]([C@H]1CC[C@H]2[C@@H]3CCC4C(=O)C(NC(=O)c5ccccc5)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,0
Cc1nc2cccc(F)c2c(N)c1CO,0
CCOC(=O)c1c(C)nc2cccc(F)c2c1N,0
Cc1nc2cccc(Cl)c2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,1
Cc1nc2cccc(F)c2c(N)c1CNC1(C(F)(F)F)CCC(=O)O1,0
OC(O)(CCCCCNc1c2c(nc3ccccc13)CCCCC2)C(F)(F)F,1
CC(=O)c1cccc(CSCc2c(C)nc3cccc(F)c3c2N)c1,0
OC(O)(CCCCCNc1c2c(nc3cccc(Cl)c13)CCCCC2)C(F)(F)F,1
Clc1cccc2nc3c(c(NCc4cccs4)c12)CCCCC3,1
Cc1nc2cccc(F)c2c(N)c1CSC1(C(F)(F)F)CCCO1,1
Cc1nc2cccc(F)c2c(N)c1CN,0
Cc1nc2cccc(F)c2c(N)c1COCc1ccccc1,0
Cc1nc2cccc(F)c2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,1
O=C(c1cccc(CBr)c1)C(F)(F)F,1
Cc1nc2ccccc2c(N)c1COCc1cccc(C(=O)C(F)(F)F)c1,1
Cc1nc2cccc(Cl)c2c(N)c1CNC1(C(F)(F)F)CCC(=O)O1,0
Cc1nc2cccc(F)c2c(N)c1CSCc1cccc(C(O)C(F)(F)F)c1,0
O=C(c1ccc(CNc2c3c(nc4cccc(Cl)c24)CCCCC3)s1)C(F)(F)F,1
CC(C)[C@@H]1CC[C@@]2(C)[C@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OS(=O)(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@@H]2OS(=O)(=O)O,0
C=C(C)[C@@H]1CC[C@@]2(C)[C@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](OS(=O)(=O)O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)C[C@@H]2OS(=O)(=O)O,0
CCc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1,0
O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc21,1
O=c1ccc2c([nH]1)CCC[C@@H]2NCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc21,1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[N+](CCCCCCCCN1C(=O)c3ccccc3C1=O)=C2,1
Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,0
CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CC[N+](C)([O-])[C@H]12,0
CCN(CC)C(C)C(=O)N1c2ccccc2Sc2ccccc21,0
CC(C)c1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,0
CCCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,0
Cc1cccc(C)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C,0
Cc1cc(C)cc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1,0
Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)c1,0
Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CC[N+](C)([O-])[C@@H]2N3C)cc1,0
O=C(/C=C/c1ccc[n+](Cc2ccc(Br)cc2)c1)c1cc2cc(Br)ccc2o1,0
O=C(/C=C/c1ccc[n+](Cc2ccc(Br)cc2)c1)c1cc2ccccc2o1,1
COc1cccc2cc(C(=O)/C=C/c3ccc[n+](Cc4ccccc4Br)c3)oc12,1
O=C(/C=C/c1ccc[n+](Cc2ccc([N+](=O)[O-])cc2)c1)c1cc2ccccc2o1,0
COc1cccc2cc(C(=O)/C=C/c3ccc[n+](Cc4ccccc4)c3)oc12,0
O=C(/C=C/c1ccc[n+](Cc2cccc(Cl)c2Cl)c1)c1cc2cc(Br)ccc2o1,0
O=C(/C=C/c1ccc[n+](Cc2ccccc2)c1)c1cc2ccccc2o1,1
O=C(/C=C/c1cc[n+](Cc2ccccc2Br)cc1)c1cc2ccccc2o1,1
O=C(/C=C/c1ccc[n+](Cc2ccccc2)c1)c1cc2cc(Br)ccc2o1,0
COc1cccc2cc(C(=O)/C=C/c3ccc[n+](Cc4cccc(Cl)c4Cl)c3)oc12,1
O=C(/C=C/c1cc[n+](Cc2ccccc2)cc1)c1cc2cc(Br)ccc2o1,0
COc1cccc2cc(C(=O)/C=C/c3ccc[n+](Cc4ccc(Cl)cc4)c3)oc12,0
O=C(/C=C/c1cc[n+](Cc2cccc(Cl)c2Cl)cc1)c1cc2ccccc2o1,0
O=C(/C=C/c1ccc[n+](Cc2ccccc2Br)c1)c1cc2ccccc2o1,1
O=C(/C=C/c1cc[n+](Cc2ccccc2)cc1)c1cc2ccccc2o1,1
COc1cccc2cc(C(=O)/C=C/c3ccc[n+](Cc4ccc(Br)cc4)c3)oc12,0
O=C(/C=C/c1ccc[n+](Cc2ccc(Cl)c(Cl)c2)c1)c1cc2cc(Br)ccc2o1,1
