standard_smiles,class
CCN(CC)CCNS(=O)(=O)c1cccc2ccccc12,0
CCN(CC)CCNS(=O)(=O)Cc1ccc(F)cc1,0
CCN(CC)CCNS(=O)(=O)Cc1ccc(C(F)(F)F)cc1,0
CCN(CC)CCNS(=O)(=O)c1cccc(C(F)(F)F)c1,0
CCN(CC)CCNS(=O)(=O)c1ccc(F)c(F)c1,0
CCN(CC)CCNS(=O)(=O)c1ccc(-c2ccc(Cl)cc2)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccccc1,0
CCN(CC)CCNS(=O)(=O)c1ccc(Cl)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccc([N+](=O)[O-])cc1,0
CCN(CC)CCNS(=O)(=O)c1cccc(Cl)c1,0
CCN(CC)CCNS(=O)(=O)c1ccc(OC)cc1,0
CCN(CC)CCNS(=O)(=O)Cc1ccc(Cl)cc1,0
CCN(CC)CCNS(=O)(=O)Cc1ccc(Br)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccc(C)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccc(Cl)cc1F,0
CCN(CC)CCNS(=O)(=O)Cc1ccccc1,0
CCN(CC)CCNS(=O)(=O)Cc1ccc(C)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccccc1F,0
CCN(CC)CCNS(=O)(=O)c1ccc(F)cc1,0
CCN(CC)CCNS(=O)(=O)c1ccc2ccccc2c1,0
COc1cc2ccc(=O)oc2cc1O,0
O=c1ccc2cc(OCCCN3CCCCC3)c(O)cc2o1,0
CCN(CC)CCOc1cc2ccc(=O)oc2cc1O,0
CCN(CC)CCCOc1cc2ccc(=O)oc2cc1O,0
O=c1ccc2cc(OCCN3CCCCC3)c(O)cc2o1,0
CC(C)NCCCOc1cc2ccc(=O)oc2cc1O,0
Nc1c2c(nc3ccccc13)CCCC2,1
CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,0
CCOC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,0
CCOC(=O)c1ccc2nc(-c3cccnc3)c3c(c2c1)N(Cc1ccccc1)C(=O)CC3,0
CCOC(=O)c1ccc2nc(-c3ccc(C(=O)OC)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,0
CCNCc1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,1
CCOC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)N(Cc1ccc(OC)cc1)CCC3,0
CCOC(=O)c1ccc2nc(-c3ccc(C(=O)OC)cc3)c3c(c2c1)N(Cc1ccccc1)C(=O)CC3,0
CCNCc1ccc2nc(-c3cccnc3)c3c(c2c1)NCCC3,0
CCOC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,0
CCNC(=O)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,1
CCNCc1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)N(Cc1ccccc1)CCC3,1
CCOC(=O)c1ccc2nc(-c3cccnc3)c3c(c2c1)NCCC3,0
