PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Units,Data Validity Comment,Activity Comment,IC50,Target Accession(s),Ligand,Target,IC50 Qualifier,Ki
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,,,,,,,
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM,Comment reflecting whether the values for this activity measurement are likely to be correct,,,,,,,
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,,,,,,,
1,194138212.0,72704681.0,CCN(CC)CCNS(=O)(=O)C1=CC=CC2=CC=CC=C21,Unspecified,,,,44,IC50,=,44000,nM,,,,,,,,
2,194138213.0,71677772.0,CCN(CC)CCNS(=O)(=O)CC1=CC=C(C=C1)F,Unspecified,,,,40,IC50,=,40000,nM,,,,,,,,
3,194138214.0,72704498.0,CCN(CC)CCNS(=O)(=O)CC1=CC=C(C=C1)C(F)(F)F,Unspecified,,,,12,IC50,=,12000,nM,,,,,,,,
4,194138215.0,72704500.0,CCN(CC)CCNS(=O)(=O)CC1=CC(=C(C=C1)Cl)Cl,Active,,,,7,IC50,=,7000,nM,,,,,,,,
5,194138216.0,71677775.0,CCN(CC)CCNS(=O)(=O)C1=CC=CC(=C1)C(F)(F)F,Unspecified,,,,22,IC50,=,22000,nM,,,,,,,,
