ZINC_ID,standard_smiles
ZINC_0,CC(C)c1cccc(-c2cccc3c2NC(=O)N(C)C3)c1
ZINC_1,CC(C)c1cccc(-c2cccnc2OC(F)F)c1
ZINC_2,Cc1c(-c2cccc(C(C)C)c2)ccc2nccn12
ZINC_3,COC(=O)c1nc2[nH]ccc2cc1-c1cccc(C(C)C)c1
ZINC_4,CC(C)c1cccc(-c2ccc3c(c2)CNC(=O)C3(C)C)c1
ZINC_5,CC(C)c1cccc(-c2ccc(=O)n(CC3CC3)c2)c1
ZINC_6,CC(C)c1cccc(-c2ccc(=O)n(-c3ccncc3)c2)c1
ZINC_7,CC(C)c1cccc(-c2cc(C(N)=O)c3[nH]ccc3c2)c1
ZINC_8,COc1ccnc2cc(-c3cccc(C(C)C)c3)cnc12
ZINC_9,Cc1nc2c(C)c(-c3cccc(C(C)C)c3)cnc2[nH]1
ZINC_10,CC(C)c1cccc(-c2ccc3[nH]cc(CN)c3c2)c1
ZINC_11,CCOc1cc(-c2cccc(C(C)C)c2)cnc1F
ZINC_12,CC(C)c1cccc(-c2ncc(F)c3[nH]ccc23)c1
ZINC_13,CC(C)c1cccc(-c2ccn(CC3CC3)c(=O)c2)c1
ZINC_14,CC(C)c1cccc(-c2ccc(=O)n(CC(F)(F)F)c2)c1
ZINC_15,CC(C)c1cccc(-c2ccc3ccc(=O)n(C)c3c2)c1
ZINC_16,CC(C)c1cccc(-c2cccn(CC3CC3)c2=O)c1
ZINC_17,CC(C)c1cccc(-c2ccc([C@H]3CCC(=O)N3)cc2)c1
ZINC_18,CC(C)c1cccc(-c2ccc([C@@H]3CCC(=O)N3)cc2)c1
ZINC_19,CC(C)c1cccc(-c2cccc3ncn(C)c23)c1
ZINC_20,CC(C)c1cccc(-c2cnccc2/C=C/N(C)C)c1
ZINC_21,CC(C)c1cccc(-c2cc(F)c3nccn3c2)c1
ZINC_22,CC(C)c1cccc(-c2ccc(=O)n(-c3ccccn3)c2)c1
ZINC_23,CC(C)c1cccc(-c2ccc(=O)n(C3CCC3)c2)c1
