Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9019480519480518,0.012696977814772704,0.9172187940217004,0.012236060004420483,0.9083495431771293,0.01414021239967801,0.9127135523576374,0.011395714523443533,0.9620109839183767,0.006140136520561617,0.9695589652196105,0.00584211323334041,0.801024424671389,0.02576757634015871,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7677103674022234,0.012055327979799963,0.944346492769166,0.006340468162459714
Random Forest,0.9075757575757576,0.011738308972256509,0.9133243744842996,0.012361782872500624,0.9240863542587678,0.011169871793352949,0.918634901186085,0.010168335615407604,0.9649375691161894,0.006229813733916775,0.9720115298504238,0.006788023643405902,0.8118477198014684,0.024004866504975495,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7601779633914627,0.018331800532724762,0.9422457777170937,0.009845745310284489
Extra Trees,0.9112554112554113,0.012546646533497356,0.9166762511455195,0.011839118684906615,0.9271426466254052,0.014568426434921037,0.9218250607153186,0.011156912107034008,0.9663710727308793,0.00564885218184858,0.9715470861987988,0.007491177539374808,0.8194130907739312,0.025591381944246865,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7526455593807022,0.02640057233066419,0.9338920700264867,0.023086275646758168
SVM,0.8885281385281385,0.014751999317219664,0.9152778119306738,0.013639004418736196,0.8845932802829355,0.021738500599425267,0.8995117039673683,0.01369192829917011,0.9503319449157261,0.008262635761832136,0.9602523663673617,0.00818462424412754,0.775329944578389,0.02949566286075121,1.7714765694076036,0.0027232537577365433,1.7567256115531975,0.030297685438430953,1.7564117613860826,0.025933561615747155,0.9304840661021265,0.03237996337730697
Gradient Boosting,0.8551948051948053,0.013704905730109736,0.865850038604197,0.01641420979381126,0.8803743000294725,0.02281865810895793,0.8727766434904487,0.012456344983213513,0.9264407923498185,0.0075174438463893635,0.9409199586209999,0.008745386985895517,0.7054853607759659,0.027771654135701995,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7564117613860823,0.025933561615747155,0.9299788913370645,0.020679000861656485
Logistic Regression,0.8614718614718614,0.015335921717678235,0.8776460310631453,0.012878742059808572,0.8769142351900973,0.02018402390586259,0.8771822556775873,0.014103092370216754,0.9244862720564784,0.011205240482358087,0.9363993704537815,0.011078084237409365,0.7185376037761085,0.030982054740377695,1.7714765694076036,0.0027232537577365433,1.7566972443265545,0.028645576049279167,1.7413179825799046,0.022308331907062152,0.9154920571685892,0.02317252758994959
AdaBoost,0.8281385281385283,0.01628994607985002,0.8418258739323601,0.01393462023533732,0.8565944591806662,0.02093607037426745,0.8490375159654562,0.01484447948746516,0.9035646454473495,0.011155692989168504,0.9190603982353945,0.016997250892178944,0.6499427964727553,0.03308741459353031,1.7006719717064542,0.1423144378489763,1.734599174771588,0.06036300544134755,1.7338000639614723,0.030159550417894875,0.8895376401291288,0.0642383168583065
KNN,0.8928571428571429,0.01806419383870678,0.8927739894641247,0.017938733657556282,0.9210050103153552,0.017364417491044087,0.9065960831669295,0.01564519788138367,0.9484922271457652,0.009943272071966741,0.9430778587958171,0.011579561445812524,0.7817487436419744,0.03697767962736063,1.735938107869142,0.10481953707205663,1.697665045682287,0.09337465529335097,1.6960945877306841,0.047733313124855736,0.8664766412236723,0.07352235088585005
Naive Bayes,0.625974025974026,0.02316725222555785,0.8597964038949681,0.024666699608316314,0.40377689360447977,0.04574506398857207,0.5478389388035846,0.0421722325382348,0.7794336473728796,0.015830772692768783,0.7992337438148891,0.01657576076312311,0.35727755996213,0.035960197062590564,1.5235243147656938,0.22718731212638343,1.5721400677866195,0.05646695087405087,1.549082340989898,0.030524433850520546,0.6552177039235471,0.04332188981663981
Decision Tree,0.8294372294372294,0.017120103838342154,0.8506918320883864,0.017135328851258073,0.8466195107574418,0.017367473643783923,0.8485713135021011,0.015212127769350893,0.8280792976331034,0.018174427312832198,0.8079391649192443,0.018015290668486773,0.6534885131327577,0.03483667051299611,1.5587904509283816,0.1725571859586866,1.520483348069555,0.15534723168835748,1.5415209661944806,0.12506682115981327,0.6352465451906868,0.14918314130122698
