Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9110389610389611,0.013288351063351352,0.927800748735771,0.01646620011436529,0.913725316828765,0.010887639130053564,0.9206449676473273,0.011585507535405272,0.9629869675392125,0.006504592643703972,0.9707792914396247,0.007070069698584396,0.8197093430781763,0.027271742623762474,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7677103674022234,0.012055327979799963,0.9430202663061682,0.017072492781629697
Gradient Boosting,0.8580086580086581,0.01585266963082301,0.8812417439256285,0.011352989531276418,0.8650368405540819,0.021825930438734056,0.8729656965034026,0.014930574509557148,0.9296793832869831,0.009313966938755776,0.9450621136833,0.010622010873044914,0.7124008373069787,0.03144085849149965,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7677103674022234,0.012055327979799963,0.9399072704210548,0.01708772576003442
SVM,0.9077922077922078,0.014939769633538874,0.9306183786667848,0.014382669338965778,0.9041364574123195,0.015167986627246235,0.9171427977431019,0.013417199722087759,0.961472983492049,0.008491773589826791,0.9692851452708797,0.007980692435080676,0.813766592039098,0.03023513967829986,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7601779633914627,0.018331800532724762,0.9366999762585688,0.018672626907190598
Random Forest,0.9168831168831171,0.010656739069343018,0.9258606167018583,0.012500626306288763,0.9271514883583849,0.010254901058883718,0.9264572899587661,0.009283526400527337,0.9696710471702381,0.007881873374703726,0.9744601683134132,0.009277839524980605,0.8310105095408394,0.02177462977956542,1.7714765694076036,0.0027232537577365433,1.7567256115531975,0.030297685438430953,1.7639441653968428,0.01596487391999725,0.9350668350826414,0.029254181716766057
Logistic Regression,0.8965367965367967,0.011728326566358482,0.9090636879980103,0.012340466012052543,0.9075803124078986,0.011405401826051586,0.9082851533065343,0.010400539839105667,0.9510787123290498,0.008156717518958493,0.9600187171147082,0.008269583020144064,0.7897003159866401,0.023870063602748796,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7601634779991344,0.016893228216884208,0.9349542901641904,0.016047384198904353
Extra Trees,0.9160173160173158,0.011688311688311684,0.9263683605869169,0.012661487867375178,0.9248526377836722,0.01096118411589827,0.9255717710492082,0.010267965065824444,0.9684237663591768,0.00886279861968975,0.9711693442046512,0.012357137838434111,0.8293083331213339,0.02380696918724156,1.7714765694076036,0.0027232537577365433,1.7345991747715885,0.06878696252942476,1.7413324679722328,0.04744464878032846,0.9124689700909572,0.06081305342958832
KNN,0.8956709956709957,0.013440843892865812,0.8948090444095422,0.015551381500946532,0.9240775125257883,0.01463152974967479,0.9091019020037644,0.01153344149756593,0.9486905531629611,0.008857776811709973,0.9413262214657442,0.009993236588075284,0.7875784859325979,0.027492367268251116,1.7003996463306805,0.2114250105033562,1.6902328323017977,0.09509007488336374,1.6772346069191262,0.06967247240264002,0.8455558833471546,0.08845963836688171
AdaBoost,0.8621212121212121,0.014840657763135891,0.8740647499438963,0.01780409022385409,0.8834305923961097,0.01752543122320847,0.878552553548704,0.012847558331848107,0.9272840157232529,0.009503096537415549,0.9316508327932388,0.012262899773792368,0.719506191278074,0.03039730660828841,1.736074270557029,0.10669456607323065,1.6460650604185088,0.08262765438319712,1.7074366499238103,0.04296358817916198,0.8441886729936281,0.05419122024992205
Decision Tree,0.8764069264069265,0.01130732284554891,0.8836887330351809,0.01054966769029848,0.8995549661066902,0.014129159385987857,0.8914914406723071,0.010034302049102143,0.8749766849251799,0.010557621996464758,0.8538741955836849,0.010942676127340093,0.7482692714329293,0.023110202277428733,1.4524473916887708,0.2934727966350012,1.5647929560860594,0.07206043898502462,1.5868167880053428,0.07298522674814378,0.7067199237699151,0.08656358289126813
Naive Bayes,0.798051948051948,0.01474564617337757,0.7729918669011918,0.015151552352529678,0.9099056881815504,0.015014978834372727,0.8357537021696105,0.011202291522071313,0.7903723677014891,0.017645417589333905,0.7664247966623099,0.01462613834721095,0.5915568452645132,0.030851904150665427,1.3463766578249334,0.3088875709336214,1.3287208959622752,0.14495180945046746,1.3531963805331375,0.11096653518661521,0.42576820954296946,0.1095296366882161
