Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.8872294372294371,0.018856031753049524,0.9049184226176109,0.021763150337473967,0.8945564397288533,0.012854174264549934,0.8996440143416443,0.016190254073129573,0.9519789329629743,0.008860104119575133,0.96140590365691,0.011101140267860228,0.7711595859659646,0.03872169462658495,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7564117613860823,0.0352125080034208,0.9349389215683631,0.0303167080788604
Random Forest,0.9058441558441558,0.010481645032730098,0.9118681456989473,0.012149314715743202,0.9225434718538166,0.013593106202574574,0.9170883371130332,0.00929732084898464,0.9599370280766941,0.007904423965901842,0.9667706669519603,0.008980539975572683,0.8084441775312733,0.02134400338558866,1.735938107869142,0.10481953707205663,1.7640727232537574,0.020496788636680842,1.7601634779991344,0.016893228216884208,0.9340153929552024,0.027280126937246213
SVM,0.8712121212121213,0.012959928467465548,0.8925580080363387,0.014656696035952009,0.8776805187150016,0.012793702466906256,0.8849894793063452,0.01140183478862724,0.9319875581095726,0.011954868931361232,0.9424133875866749,0.015237984862996164,0.7389605057747495,0.026477213087590212,1.7714765694076036,0.0027232537577365433,1.7493501326259946,0.06688710529687167,1.748879357375322,0.045950952331131265,0.9112433318581112,0.06392318601712936
Gradient Boosting,0.830952380952381,0.011098219691163865,0.8281326963001844,0.009941224130333225,0.884192455054524,0.019435946840366248,0.8551084818742531,0.010387388655890903,0.9041200743175655,0.012555233801429078,0.9190277033799343,0.017446257471826383,0.655106770567598,0.023008425695239008,1.736074270557029,0.10669456607323065,1.7493217653993516,0.04690605631764839,1.7413324679722328,0.04744464878032846,0.9024609773590951,0.06331073059191657
Extra Trees,0.9047619047619048,0.014027577269281069,0.9141545826969061,0.013417237281705435,0.9175655761862659,0.01607870216065793,0.9157896315610158,0.012531248524192093,0.9483541728993096,0.007991660365196872,0.9484100288180821,0.010137069817590053,0.8063618465184691,0.028511335453914877,1.7714765694076036,0.0027232537577365433,1.7271669613910994,0.04820078482887292,1.7111593957522058,0.03404406200110844,0.885555695817858,0.04307134424663431
AdaBoost,0.7748917748917749,0.014259453759307884,0.7784015121246337,0.014368121076790532,0.8408591217211907,0.015616585361432032,0.8083249908628514,0.011981756542355709,0.8565928194212324,0.013452356850995066,0.883161983986761,0.014507735386694335,0.5391744353320644,0.029407048864524808,1.736074270557029,0.10669456607323065,1.7419462864721484,0.03598727909022678,1.7111883665368623,0.05698067283691076,0.8788852045030426,0.04925078237627012
Logistic Regression,0.7917748917748918,0.02082426575031289,0.8227262819345176,0.019709341113798014,0.8048216917182435,0.026594317386921494,0.8134544355314615,0.019385541525733796,0.8670872470047855,0.014624298067759285,0.889822110111813,0.01633229245550613,0.5784147801667312,0.0418918321217758,1.7006719717064542,0.1423144378489763,1.7345708075449455,0.049569169760797616,1.7111738811445343,0.034769314090962664,0.8735196728707535,0.044858371107291475
KNN,0.8742424242424243,0.010755201947017174,0.8638749070907104,0.01409358602058462,0.9229266136162689,0.007964983819949614,0.8923519822233914,0.00856144761527709,0.933477573421132,0.007872208664978404,0.9256798034642493,0.00979437983662855,0.7440911854921708,0.02179483298979078,1.5589266136162685,0.23513246178247565,1.682885720601238,0.06405559096457795,1.6546373948868447,0.04617082412748724,0.8148098233836463,0.06218354422001074
Decision Tree,0.8616883116883118,0.01263780136536365,0.8759086858249798,0.015653061424625955,0.8799985263778367,0.015716101335816284,0.8778056935889351,0.010970384558213028,0.8647819109427868,0.015080522646706604,0.8444543185868258,0.016838076087569855,0.7187922351580941,0.02592758969709632,1.5943289124668432,0.2376001448836957,1.5425530503978782,0.12862720338238862,1.5528195722106213,0.08808420337907365,0.6788536083066943,0.10744665576001879
Naive Bayes,0.47575757575757577,0.0362810854368086,0.8301926925967846,0.0854959419423955,0.08595932802829355,0.06580198058788532,0.15022515757486166,0.09650704446785126,0.7761700018465102,0.02599763141167092,0.7931613195260544,0.027064628786882237,0.13312072220728685,0.07562965820704341,1.4882581786030058,0.2663921290818299,1.4542175066312995,0.18199645055853478,1.5453740805538307,0.09606266721096224,0.6104100768413059,0.13175943543573515
