Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9108225108225108,0.011728326566358496,0.9241461867583629,0.015446525739809798,0.9175670498084291,0.008559840895832737,0.920785087017175,0.010030948325236901,0.9635712785255063,0.006078167128369911,0.9714481739455779,0.005223640616916999,0.818942859654171,0.024132857112379207,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,0.9465090577311905,0.005707024979122639
Random Forest,0.9170995670995671,0.011738308972256488,0.9255384594413251,0.012877327490530447,0.927916298261126,0.010241271590199138,0.9266913459882495,0.01019872434997313,0.9713495289098304,0.007560905634236033,0.9757187465647718,0.009010906484956503,0.8313923896845891,0.023972730995511757,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7601779633914627,0.024894586995534103,0.9381088939601547,0.02974786483864354
Gradient Boosting,0.8593073593073595,0.017796367784497346,0.8779633161514182,0.017745331258541223,0.8723194812849984,0.022524791940417004,0.8749520698511601,0.01598314880728976,0.9302544515787472,0.010518633595448714,0.9441001970453453,0.010601112046960832,0.7145123007718954,0.03608747388627425,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7677103674022234,0.012055327979799963,0.9374368622267231,0.018456709995179243
SVM,0.8787878787878789,0.011412490325942928,0.9206800609367279,0.015764122950776702,0.8596522251694665,0.015920861360612885,0.8889589173908238,0.010528373294528576,0.9441764613434304,0.00878595962581503,0.955419069718273,0.007850012612829195,0.7582911017752016,0.023146706599456682,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7601779633914627,0.024894586995534103,0.9346685833206294,0.013355027695215514
Extra Trees,0.9207792207792208,0.012097998798685802,0.9294390497592481,0.016307444532849942,0.930601237842617,0.010470417211297213,0.9299328751380125,0.010372004373292,0.9699987224034834,0.0076163713775997816,0.973510381067627,0.00831379425206738,0.8390065452929267,0.02481095313161719,1.736074270557029,0.10669456607323065,1.7419462864721484,0.03598727909022678,1.7526310739883737,0.019037139954352515,0.9208977681749161,0.032629268326279465
Logistic Regression,0.8963203463203463,0.014142334393004006,0.907643684998216,0.017576253696079527,0.9091158267020335,0.011592788405774294,0.9082985666605643,0.01220585210528389,0.9465125359217634,0.009431295058536389,0.951057378437149,0.013272995147578468,0.7892208210076914,0.02895661067046997,1.7006719717064542,0.1423144378489763,1.7345991747715885,0.05055431374076622,1.7413469533645614,0.034168286386392244,0.8991900337606429,0.05078112823512027
AdaBoost,0.8712121212121211,0.013421658872664485,0.8783410016991555,0.013177930224798717,0.8960904804008252,0.013311443688266922,0.8870809423866524,0.011645811986290715,0.9336296911376214,0.00942372978690099,0.9372737562962756,0.014244255558114698,0.7375691529862423,0.027406091773694494,1.7006719717064542,0.1423144378489763,1.6755669761273206,0.0676221433029788,1.7074366499238103,0.04912474947561409,0.8573382623117292,0.05599254122483505
KNN,0.8906926406926405,0.01206115300065371,0.8908854454268577,0.013837601924234702,0.9190863542587682,0.008565973856764462,0.9047301266036698,0.010156557354864704,0.9451322712721144,0.008490105195361064,0.9398816248882766,0.010021704548239852,0.7772080999852269,0.024640558581267104,1.6298673740053047,0.23566768021172552,1.682914087827881,0.07263519088941157,1.6923139003329755,0.054196295432395084,0.8463699920212646,0.07758792854090484
Decision Tree,0.8787878787878787,0.012167505906974197,0.8895297491175335,0.012607452987318236,0.8968464485705864,0.017494556582374376,0.8930495998797712,0.01102335131158585,0.8763956298882194,0.012220377347984476,0.8563440606040604,0.012953218129438377,0.7534834588563912,0.024687390445299995,1.6652696728558793,0.22733868514021668,1.6017554524020041,0.0884834915118303,1.590626446187708,0.08184481120432528,0.7313135430015476,0.07482314372198082
Naive Bayes,0.8025974025974024,0.016676502410613164,0.7852976114610943,0.014810553888348565,0.8953374594753905,0.01918400272151309,0.8366089005868365,0.013848520164926317,0.7975160385708788,0.017760671237755803,0.7746444366248307,0.015074838804764021,0.5984594694234328,0.03521684278809426,1.2398974358974357,0.2849200258382862,1.3655982905982904,0.16653958825161985,1.3418832891246684,0.11799495177208114,0.4310758949888885,0.16399517108601186
