Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9114718614718613,0.014075922500336884,0.9220940018187729,0.01890532818730627,0.9213999410551136,0.011249554380562389,0.9216388118383223,0.011927128513463127,0.9664488127422347,0.008189761057447889,0.9733566898323147,0.006013394482808749,0.820158132879607,0.029020421663743596,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7639441653968428,0.023206954780582826,0.944890490626652,0.012078603101887762
Extra Trees,0.9099567099567099,0.014622810176670591,0.9187406268713462,0.013638525538265655,0.9221750663129973,0.016927163408605155,0.9203810351972299,0.012976096693813959,0.9647929813650565,0.010774250481841765,0.9697311581943108,0.011094039413835875,0.8169515578189349,0.029751117446703963,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7639441653968428,0.01596487391999725,0.9432670154017598,0.008038639880086166
Gradient Boosting,0.8822510822510823,0.01570420532226585,0.8897681772147379,0.0185560180682378,0.903762157382847,0.017655248202935365,0.896554030497051,0.013690925070674521,0.9467662569139055,0.008729329756649005,0.9576457441263816,0.006907860351692518,0.7604180263249269,0.0320988352610434,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7677103674022234,0.012055327979799963,0.9429311968232849,0.009684272105817368
Random Forest,0.9125541125541126,0.015584415584415586,0.91991029269945,0.017496609884787677,0.9260094311818449,0.016924652870893005,0.9228274693717747,0.013571761154920033,0.966939831472095,0.009207248682106367,0.9728350798822397,0.009134167338040311,0.8222636334273652,0.03183645567293014,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.7639441653968428,0.023206954780582826,0.9400844072898348,0.025343088372038376
AdaBoost,0.8554112554112555,0.015692267498174782,0.8646598198005305,0.01684115508853444,0.8822885352195697,0.018124055502114208,0.873243544717004,0.013470232416498666,0.9293027377367903,0.009017799511659635,0.9442695415788689,0.008990482853839462,0.7055234131549388,0.03231127507330265,1.7714765694076036,0.0027232537577365433,1.7714765694076036,0.0027232537577365433,1.7639441653968428,0.023206954780582826,0.9392594353745689,0.015768748521638547
SVM,0.9006493506493506,0.016210661769136585,0.921314790396497,0.015840744760528228,0.9010786914235188,0.016388636718879843,0.9110273516017943,0.014450841746096125,0.957261206101343,0.010772925273524346,0.9652360840271191,0.00989150086934105,0.7989569798242092,0.03289844260720871,1.7714765694076036,0.0027232537577365433,1.7567256115531975,0.030297685438430953,1.7526455593807022,0.031315743170061285,0.9340940367306192,0.02332987100940347
Logistic Regression,0.8861471861471861,0.01657505603383258,0.8992337460434149,0.015494314629658163,0.8991570881226052,0.016968237771514173,0.89914327104792,0.014748115837194882,0.9452750195905877,0.011629573293226066,0.9540881563467503,0.010671192308565237,0.7685612854655743,0.03366649760562881,1.7714765694076036,0.0027232537577365433,1.7641010904804006,0.022739406684942,1.748879357375322,0.031252964923530954,0.9254634579690941,0.025623959969213204
KNN,0.887012987012987,0.01492722047581529,0.8850899818208123,0.016089805891946554,0.9194768641320366,0.016884819142558675,0.9018395365837997,0.012906870388015926,0.9421027892326295,0.01074754352346084,0.9352271012009463,0.011133083119099337,0.7699284322939655,0.030580646053685722,1.736074270557029,0.10669456607323065,1.69769341290893,0.0814571272565561,1.6885911545045809,0.07580713316962938,0.8635643582605885,0.06399192667184896
Decision Tree,0.8662337662337662,0.021619032015902637,0.8718555409893914,0.018577215011728872,0.8945623342175064,0.02233423617483777,0.8830048984232908,0.01917198000263125,0.8641246974704728,0.021836374494971177,0.8417634280511128,0.022388821308805346,0.7273806070837852,0.04407872249111359,1.4879858532272323,0.3087008437804659,1.5425814176245212,0.09471922322534705,1.57544575502756,0.06169295941770928,0.6738364787090994,0.09261753615912008
Naive Bayes,0.6595238095238096,0.02643972840292194,0.7265889141575713,0.027689684002040384,0.6372472737989978,0.035371143893998286,0.6784930550814627,0.026808128269505568,0.7066979110714428,0.026291855113314763,0.7116404756184277,0.02386981046210461,0.32339116209753793,0.05319038689116217,1.3462404951370466,0.2646422987073135,1.3434718538166814,0.19538578859080521,1.2966454088831196,0.11040036227591972,0.3913660784360871,0.12084892031458465
