Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,MCC_mean,MCC_std,EF1_mean,EF1_std,EF5_mean,EF5_std,EF10_mean,EF10_std,BEDROC_mean,BEDROC_std
LightGBM,0.9034632034632034,0.013279533896257977,0.9206276316533977,0.01137374634780797,0.9072104332449159,0.01388664786428691,0.9138491465974017,0.011956410715123813,0.9606319328964977,0.008174143604157769,0.9675456114701806,0.007707794853438637,0.8042478543211835,0.026846306116447147,1.7714765694076036,0.0027232537577365433,1.7640727232537574,0.020496788636680842,1.7639296800045148,0.014293794385145088,0.9403626802204723,0.015290695235543435
Random Forest,0.9177489177489176,0.011163460569894043,0.9237444380395543,0.013548513717660561,0.9313704686118477,0.010867576908709715,0.927479186675787,0.009658454560696453,0.9686345917424923,0.007239214636123971,0.9731337903801812,0.008973171083697136,0.8326687614931603,0.02283058314771078,1.735938107869142,0.10481953707205663,1.7640727232537574,0.020496788636680842,1.7601634779991344,0.02385511916747306,0.9329945821657464,0.03213280269831552
Extra Trees,0.9160173160173161,0.011526863165103353,0.9238238389245261,0.013466533633985058,0.927917771883289,0.012430638850915979,0.9257949860251884,0.010121304025333682,0.9657096739603886,0.009280513211597131,0.9705132115504007,0.009221212735444677,0.8292437739416382,0.023481420915281208,1.7714765694076036,0.0027232537577365433,1.7493501326259946,0.03478539191467885,1.7563972759937543,0.018386984694614812,0.9305566384884504,0.02512252705783801
SVM,0.9015151515151516,0.014035924534089592,0.9224401437923205,0.01339872639614965,0.9014633068081344,0.017614205224515143,0.911736904522526,0.01274706476356298,0.9549232744150142,0.010895064795070344,0.9610612048580283,0.01141851100659755,0.8008463035473963,0.02822029802550829,1.7714765694076036,0.0027232537577365433,1.7567256115531975,0.030297685438430953,1.7488648719829936,0.02533892627834016,0.9219846521529886,0.027892350990895168
Gradient Boosting,0.8575757575757574,0.013335863030951838,0.8702230143774938,0.016447881242861482,0.8792086648983201,0.01830717348181233,0.8745056864750774,0.011768976194937079,0.9258784645092245,0.012276364457885538,0.9385875752802664,0.01386037194250335,0.7103142123539319,0.027294443495101444,1.7714765694076036,0.0027232537577365433,1.7493501326259946,0.04793722226798435,1.7488648719829936,0.030426086436572252,0.9199201203568169,0.0343743550926541
Logistic Regression,0.8751082251082252,0.012284384089751276,0.8924337294468698,0.01446006580403257,0.8857500736811081,0.012697568646147347,0.8889972245303788,0.010612889382428301,0.936985957602451,0.00941881535576115,0.9450972868917488,0.013431926478089409,0.7464440169332138,0.02519878380113401,1.736074270557029,0.10669456607323065,1.7567256115531975,0.030297685438430953,1.7488648719829936,0.02533892627834016,0.9158127341227458,0.04165319289751219
KNN,0.8937229437229437,0.01346348185288656,0.8994502038267841,0.014471920618392038,0.9141114058355437,0.015339624165336364,0.9066311411425625,0.011793392434029767,0.9452083119287555,0.009790139863015806,0.9393531959672078,0.01178831245930662,0.7836735135155827,0.027565223907607128,1.6297312113174178,0.17334151928404254,1.6903179339817271,0.09654230792095732,1.6923428711176325,0.05999129910865575,0.8495743608928106,0.08265868035388264
AdaBoost,0.848051948051948,0.015329810571104564,0.8576543304740861,0.01314096734335925,0.8765325670498084,0.025350520599936966,0.8667663584249695,0.01443620670973184,0.914470440562868,0.012881611255637396,0.9191745545999677,0.019600448467781435,0.6907238852132103,0.030922598937050506,1.5943289124668432,0.1771648203528147,1.6680496610669024,0.08043504980077075,1.68473804014523,0.05462234591254169,0.8266962952259463,0.08533543119097893
Decision Tree,0.8683982683982684,0.015421223489659625,0.8787272860892277,0.015891369119337737,0.8899557913351016,0.01899674011621549,0.8841728204594128,0.013582976060677375,0.8663192628911597,0.01554997411115187,0.8452356118159372,0.016331895101578068,0.7322091205138872,0.03167977030550031,1.5236604774535807,0.22818526581440776,1.491094901267315,0.15154892888978552,1.526557555919258,0.1180288433511949,0.6292649052457289,0.15173866378133485
Naive Bayes,0.7101731601731601,0.021568044941142926,0.6740284024900538,0.017008896215917634,0.9436221632773357,0.014304118401955146,0.7862426023560145,0.014016911676957995,0.6791337957861796,0.0221866527319473,0.6716756719892526,0.015829393896037915,0.42779515870047896,0.048198343523153164,1.204495137046861,0.23434480738369823,1.1439651488358384,0.14394996885879488,1.2550723329006528,0.17804388335930266,0.2413193279744889,0.1561898852284913
